,method,solution,time,fitness,optimal_solution,optimal_fitness,nr_of_components,dataset_idx,random_state,KL,JS
0,DO,"[ 0.03315423  0.03051407  0.03504422  0.12507985  0.04239221  0.18377589
  0.08963922  0.24890596  0.05650932  0.15498502  0.05177944  0.08903402
  0.00994371  0.01035224  0.05801418  0.03042425  0.03092503  0.02471213
  0.00537767  0.04486029 -0.01836636  0.13712153  0.22120589  0.29143135
  0.41040724  0.51776263  0.61093696  0.70549678  0.77813124  0.8919776 ]",1.965128417010419,0.05601719894269912,"[0.03467228 0.05162791 0.13535905 0.05848168 0.14055121 0.18174426
 0.13702659 0.11547116 0.07434309 0.07072277 0.0514573  0.01035246
 0.00226007 0.05167753 0.02463243 0.06650849 0.01559651 0.02335795
 0.02063512 0.01161815 0.01825899 0.22433355 0.28355875 0.44086378
 0.51828784 0.60877604 0.70294732 0.75166501 0.863081   0.92791498]",0.0019359016397653282,10,0,1,0.27860010790610057,0.0695539035917114
1,GA Mann-Wald,"[ 0.03276     0.03418934  0.07008114  0.18611045  0.0687829   0.14183621
  0.06037245  0.20619144  0.05977617  0.1398999   0.06303203  0.05144104
  0.01033558  0.00888041  0.07243258  0.02683426  0.02861726  0.02640752
  0.02420271  0.04109772 -0.02516072  0.09939106  0.22462092  0.28157389
  0.42149546  0.5213864   0.61436961  0.70550348  0.77799119  0.89749605]",1.9475480830296874,0.34913745343986063,"[0.03467228 0.05162791 0.13535905 0.05848168 0.14055121 0.18174426
 0.13702659 0.11547116 0.07434309 0.07072277 0.0514573  0.01035246
 0.00226007 0.05167753 0.02463243 0.06650849 0.01559651 0.02335795
 0.02063512 0.01161815 0.01825899 0.22433355 0.28355875 0.44086378
 0.51828784 0.60877604 0.70294732 0.75166501 0.863081   0.92791498]",0.015048431091302546,10,0,1,0.21955385431891472,0.06286468780411943
2,iLSHADE Mann-Wald,"[ 0.03        0.03303733  0.05927546  0.14642849  0.04310168  0.18701747
  0.13809901  0.16439852  0.12080945  0.184722    0.0612635   0.03356797
  0.01237117  0.00244434  0.03463012  0.02785833  0.04660685  0.01780911
  0.02453982  0.04016681 -0.03847331  0.03605697  0.22485909  0.28372228
  0.41528011  0.51375128  0.60649061  0.70169206  0.75072979  0.89638527]",1.9893116670427844,0.07757000562564818,"[0.03467228 0.05162791 0.13535905 0.05848168 0.14055121 0.18174426
 0.13702659 0.11547116 0.07434309 0.07072277 0.0514573  0.01035246
 0.00226007 0.05167753 0.02463243 0.06650849 0.01559651 0.02335795
 0.02063512 0.01161815 0.01825899 0.22433355 0.28355875 0.44086378
 0.51828784 0.60877604 0.70294732 0.75166501 0.863081   0.92791498]",0.015048431091302546,10,0,1,0.04677202965559868,0.013998026169887321
3,EM,"[0.03462299 0.05165054 0.13532679 0.05501354 0.18895592 0.10148643
 0.17652926 0.11061535 0.07405145 0.07174773 0.05035305 0.01054308
 0.00255851 0.04784699 0.02692514 0.03437389 0.01921136 0.02242551
 0.01927576 0.01161174 0.01742591 0.22494576 0.2836225  0.43360734
 0.52047271 0.60994362 0.70089225 0.75382828 0.86244577 0.92740304]",0.34683929092716426,0.017024416088663934,"[0.03467228 0.05162791 0.13535905 0.05848168 0.14055121 0.18174426
 0.13702659 0.11547116 0.07434309 0.07072277 0.0514573  0.01035246
 0.00226007 0.05167753 0.02463243 0.06650849 0.01559651 0.02335795
 0.02063512 0.01161815 0.01825899 0.22433355 0.28355875 0.44086378
 0.51828784 0.60877604 0.70294732 0.75166501 0.863081   0.92791498]",0.015048431091302546,10,0,1,0.0034515404222357216,0.000991509152444788
4,DO,"[ 0.03279858  0.03943483  0.04024742  0.13211998  0.06224673  0.14938022
  0.08355807  0.24512148  0.05260757  0.16248513  0.05718992  0.07385798
  0.01429922  0.00451404  0.04310294  0.02513812  0.03590451  0.02558068
  0.01646162  0.04483221 -0.0277788   0.11475559  0.21144392  0.29933286
  0.44661923  0.52042708  0.61054283  0.7088781   0.77063275  0.89640267]",1.7569111249176785,0.06633453621136413,"[0.03467228 0.05162791 0.13535905 0.05848168 0.14055121 0.18174426
 0.13702659 0.11547116 0.07434309 0.07072277 0.0514573  0.01035246
 0.00226007 0.05167753 0.02463243 0.06650849 0.01559651 0.02335795
 0.02063512 0.01161815 0.01825899 0.22433355 0.28355875 0.44086378
 0.51828784 0.60877604 0.70294732 0.75166501 0.863081   0.92791498]",0.0019359016397653282,10,0,2,0.823569166905626,0.11211482445600797
5,GA Mann-Wald,"[ 0.04523081  0.03878861  0.05095071  0.19438778  0.05339483  0.13138001
  0.11607074  0.17779451  0.07512283  0.11687917  0.06650351  0.0273628
  0.02283945  0.00461141  0.06970476  0.02996803  0.04610442  0.02699942
  0.03144311  0.03603194 -0.09277781  0.05900131  0.21463736  0.28701417
  0.39301537  0.51144318  0.60752639  0.70638663  0.77571391  0.89700304]",1.7534570830175653,0.32606487709249543,"[0.03467228 0.05162791 0.13535905 0.05848168 0.14055121 0.18174426
 0.13702659 0.11547116 0.07434309 0.07072277 0.0514573  0.01035246
 0.00226007 0.05167753 0.02463243 0.06650849 0.01559651 0.02335795
 0.02063512 0.01161815 0.01825899 0.22433355 0.28355875 0.44086378
 0.51828784 0.60877604 0.70294732 0.75166501 0.863081   0.92791498]",0.015048431091302546,10,0,2,0.2182091113645654,0.06423889177944753
6,iLSHADE Mann-Wald,"[ 0.03124593  0.03005518  0.05336996  0.14728964  0.03190431  0.21825829
  0.11630902  0.13157952  0.13622851  0.19068867  0.03681311  0.02467169
  0.01085352  0.00244479  0.02632601  0.0317608   0.04143124  0.0150755
  0.02481581  0.04281174 -0.02115378  0.05043012  0.22363964  0.28380445
  0.41315475  0.51782369  0.62310121  0.69984648  0.74769184  0.90004197]",1.9658204580191523,0.07451751573235073,"[0.03467228 0.05162791 0.13535905 0.05848168 0.14055121 0.18174426
 0.13702659 0.11547116 0.07434309 0.07072277 0.0514573  0.01035246
 0.00226007 0.05167753 0.02463243 0.06650849 0.01559651 0.02335795
 0.02063512 0.01161815 0.01825899 0.22433355 0.28355875 0.44086378
 0.51828784 0.60877604 0.70294732 0.75166501 0.863081   0.92791498]",0.015048431091302546,10,0,2,0.05424806997286391,0.014665005745212142
7,EM,"[0.03462299 0.05164752 0.13532411 0.05599002 0.19323044 0.0978384
 0.1758707  0.10961278 0.07413358 0.07172945 0.05035307 0.01053927
 0.00255847 0.04857554 0.02754719 0.03320158 0.01874425 0.02199541
 0.0193287  0.01160813 0.01742594 0.22494363 0.28362249 0.43490403
 0.52160763 0.61343634 0.70124957 0.75425891 0.86241749 0.92740793]",0.47491154191084206,0.016197065149673038,"[0.03467228 0.05162791 0.13535905 0.05848168 0.14055121 0.18174426
 0.13702659 0.11547116 0.07434309 0.07072277 0.0514573  0.01035246
 0.00226007 0.05167753 0.02463243 0.06650849 0.01559651 0.02335795
 0.02063512 0.01161815 0.01825899 0.22433355 0.28355875 0.44086378
 0.51828784 0.60877604 0.70294732 0.75166501 0.863081   0.92791498]",0.015048431091302546,10,0,2,0.00373034685384388,0.0010089274221533118
8,DO,"[ 0.03491155  0.03633661  0.06532234  0.11125909  0.05781811  0.16835465
  0.09417474  0.19200628  0.14292637  0.09689026  0.0737981   0.05623672
  0.00646577  0.00707215  0.05602652  0.02786224  0.03866195  0.02462439
  0.05939851  0.03091633 -0.01470641  0.09785034  0.20738733  0.28677223
  0.41717655  0.51672807  0.60921896  0.70845363  0.78789758  0.91647521]",1.7027301250491291,0.08263160537600067,"[0.03467228 0.05162791 0.13535905 0.05848168 0.14055121 0.18174426
 0.13702659 0.11547116 0.07434309 0.07072277 0.0514573  0.01035246
 0.00226007 0.05167753 0.02463243 0.06650849 0.01559651 0.02335795
 0.02063512 0.01161815 0.01825899 0.22433355 0.28355875 0.44086378
 0.51828784 0.60877604 0.70294732 0.75166501 0.863081   0.92791498]",0.0019359016397653282,10,0,3,0.2977222530031666,0.06841762998132814
9,GA Mann-Wald,"[ 0.03465578  0.03272162  0.04010732  0.12694749  0.05283753  0.13263186
  0.10605611  0.2203736   0.07710634  0.17656236  0.06737129  0.05130697
  0.01470341  0.00276237  0.07446363  0.02582494  0.03683353  0.02529071
  0.02430068  0.04364705 -0.00192292  0.15779044  0.22725288  0.2840129
  0.4181486   0.51144381  0.58750548  0.7009746   0.76577467  0.90198271]",1.8200670829974115,0.1353408166242907,"[0.03467228 0.05162791 0.13535905 0.05848168 0.14055121 0.18174426
 0.13702659 0.11547116 0.07434309 0.07072277 0.0514573  0.01035246
 0.00226007 0.05167753 0.02463243 0.06650849 0.01559651 0.02335795
 0.02063512 0.01161815 0.01825899 0.22433355 0.28355875 0.44086378
 0.51828784 0.60877604 0.70294732 0.75166501 0.863081   0.92791498]",0.015048431091302546,10,0,3,0.09438974570524106,0.027458066676356876
