,method,solution,time,fitness,optimal_solution,optimal_fitness,nr_of_components,dataset_idx,random_state,KL,JS
0,DO,"[0.61096655 0.14376876 0.07317017 0.10951209 0.06258242 0.06642724
 0.04768118 0.02966574 0.10808343 0.07812022 0.04002875 0.33730384
 0.61878442 0.77083968 0.9603763 ]",1.6248475409811363,0.04093028838794423,"[0.58553337 0.09813728 0.08033079 0.09353559 0.14246297 0.05614113
 0.08673251 0.02266851 0.03734826 0.11212201 0.03356608 0.26232029
 0.36076945 0.62576671 0.86894489]",0.002330745795375372,5,0,1,0.030607240185793527,0.007683300301877487
1,GA Mann-Wald,"[0.59758731 0.16202871 0.09233101 0.09964137 0.04841161 0.06128734
 0.05817161 0.03438359 0.08739452 0.09908755 0.03983548 0.33056297
 0.62184155 0.82521584 0.99847685]",1.8522917910013348,0.07088564734628483,"[0.58553337 0.09813728 0.08033079 0.09353559 0.14246297 0.05614113
 0.08673251 0.02266851 0.03734826 0.11212201 0.03356608 0.26232029
 0.36076945 0.62576671 0.86894489]",0.024101409052402347,5,0,1,0.02724131141144498,0.007340284662608401
2,iLSHADE Mann-Wald,"[0.6298934  0.16746644 0.08819279 0.08405949 0.0650338  0.06331781
 0.05649208 0.03243346 0.09301823 0.09255302 0.03974183 0.33486545
 0.62059255 0.80335963 0.94645401]",1.6732835420407355,0.06584354129419144,"[0.58553337 0.09813728 0.08033079 0.09353559 0.14246297 0.05614113
 0.08673251 0.02266851 0.03734826 0.11212201 0.03356608 0.26232029
 0.36076945 0.62576671 0.86894489]",0.024101409052402347,5,0,1,0.023937609421161243,0.006223727131758496
3,EM,"[0.3500035  0.27252097 0.14091778 0.09591274 0.14064502 0.04829148
 0.06326381 0.04810036 0.03755554 0.1106045  0.01214284 0.07906304
 0.33818162 0.62298779 0.8738602 ]",0.551079084048979,1000000.0,"[0.58553337 0.09813728 0.08033079 0.09353559 0.14246297 0.05614113
 0.08673251 0.02266851 0.03734826 0.11212201 0.03356608 0.26232029
 0.36076945 0.62576671 0.86894489]",0.024101409052402347,5,0,1,0.01898022742362393,0.00433354280110678
4,DO,"[0.6176318  0.14321589 0.08989815 0.09384762 0.05540655 0.06622769
 0.04948987 0.03618148 0.09890229 0.08150733 0.03963497 0.33868584
 0.62623082 0.78686834 0.99156804]",2.1669716669712216,0.046378988341149216,"[0.58553337 0.09813728 0.08033079 0.09353559 0.14246297 0.05614113
 0.08673251 0.02266851 0.03734826 0.11212201 0.03356608 0.26232029
 0.36076945 0.62576671 0.86894489]",0.002330745795375372,5,0,2,0.03142353558782596,0.007822581445719139
5,GA Mann-Wald,"[0.49744845 0.11511659 0.10514369 0.12790923 0.15438205 0.05586328
 0.06402704 0.03618012 0.04712794 0.10988011 0.03223456 0.26692001
 0.37189059 0.63439286 0.88935191]",1.7090859999880195,0.08697545226843269,"[0.58553337 0.09813728 0.08033079 0.09353559 0.14246297 0.05614113
 0.08673251 0.02266851 0.03734826 0.11212201 0.03356608 0.26232029
 0.36076945 0.62576671 0.86894489]",0.024101409052402347,5,0,2,0.03160065381475918,0.008220326825925554
6,iLSHADE Mann-Wald,"[0.62604072 0.1671816  0.08853922 0.08375465 0.06529059 0.06350384
 0.05637778 0.03269882 0.09209801 0.09335805 0.03961452 0.33498309
 0.620653   0.80513423 0.94769119]",1.603324708994478,0.0658027326978665,"[0.58553337 0.09813728 0.08033079 0.09353559 0.14246297 0.05614113
 0.08673251 0.02266851 0.03734826 0.11212201 0.03356608 0.26232029
 0.36076945 0.62576671 0.86894489]",0.024101409052402347,5,0,2,0.024875361629696335,0.006290328604262308
7,EM,"[0.36557522 0.25801067 0.13984024 0.09609328 0.14048059 0.04861796
 0.06425953 0.04726897 0.03766182 0.11044406 0.01357299 0.08169686
 0.33898287 0.62305394 0.87409491]",0.11207054206170142,1000000.0,"[0.58553337 0.09813728 0.08033079 0.09353559 0.14246297 0.05614113
 0.08673251 0.02266851 0.03734826 0.11212201 0.03356608 0.26232029
 0.36076945 0.62576671 0.86894489]",0.024101409052402347,5,0,2,0.018093228115802606,0.004463492600686845
8,DO,"[0.59894449 0.16577937 0.08848501 0.08493311 0.06185801 0.06176299
 0.05828859 0.03534087 0.09022119 0.08178942 0.03815268 0.32961315
 0.6191069  0.79946332 0.95862138]",1.7211022499250248,0.037562372333540504,"[0.58553337 0.09813728 0.08033079 0.09353559 0.14246297 0.05614113
 0.08673251 0.02266851 0.03734826 0.11212201 0.03356608 0.26232029
 0.36076945 0.62576671 0.86894489]",0.002330745795375372,5,0,3,0.023939838037862204,0.006375707454721793
9,GA Mann-Wald,"[0.59409566 0.16840085 0.08646745 0.08015475 0.0708813  0.06132255
 0.06101654 0.03221824 0.085733   0.08073102 0.03731898 0.33142786
 0.61795531 0.78517017 0.95860351]",1.8003890829859301,0.06995744745185029,"[0.58553337 0.09813728 0.08033079 0.09353559 0.14246297 0.05614113
 0.08673251 0.02266851 0.03734826 0.11212201 0.03356608 0.26232029
 0.36076945 0.62576671 0.86894489]",0.024101409052402347,5,0,3,0.025689014307211544,0.006812027395683964
