,method,solution,time,fitness,optimal_solution,optimal_fitness,nr_of_components,dataset_idx,random_state,KL,JS
0,DO,"[0.1313216  0.09821597 0.17072174 0.10583985 0.4115141  0.08238674
 0.08433256 0.0843563  0.03013927 0.1096449  0.05774954 0.06059725
 0.09208916 0.22962777 0.61113246 0.79966488 0.98750446 1.14078505]",1.654027833021246,0.21007284778235588,"[0.04602542 0.14177263 0.03242728 0.11305189 0.08082295 0.58589983
 0.06269617 0.02438642 0.0814761  0.00675213 0.01183257 0.08914504
 0.00876732 0.14670419 0.32867061 0.60804061 0.64532422 0.9852028 ]",0.004141526086678672,6,0,1,0.20186472796464572,0.054258707564896494
1,GA Mann-Wald,"[0.05454412 0.12854022 0.04076491 0.21513436 0.25088906 0.31012733
 0.07313509 0.02421796 0.09418561 0.02261603 0.06533843 0.07264122
 0.02630684 0.14735106 0.33474338 0.6230749  0.92459157 1.03580765]",1.885350624914281,0.10647907299579558,"[0.04602542 0.14177263 0.03242728 0.11305189 0.08082295 0.58589983
 0.06269617 0.02438642 0.0814761  0.00675213 0.01183257 0.08914504
 0.00876732 0.14670419 0.32867061 0.60804061 0.64532422 0.9852028 ]",0.018874278329359995,6,0,1,0.05597965542654165,0.015625538059485418
2,iLSHADE Mann-Wald,"[0.05576831 0.13438634 0.03182468 0.2354227  0.29648893 0.2950177
 0.07653007 0.02293803 0.07886632 0.02143433 0.0709308  0.07521024
 0.02457311 0.14585471 0.32099537 0.62237952 0.93660705 1.03428239]",2.107628041994758,0.09545333280795575,"[0.04602542 0.14177263 0.03242728 0.11305189 0.08082295 0.58589983
 0.06269617 0.02438642 0.0814761  0.00675213 0.01183257 0.08914504
 0.00876732 0.14670419 0.32867061 0.60804061 0.64532422 0.9852028 ]",0.018874278329359995,6,0,1,0.05513911036833852,0.015776124760337792
3,EM,"[0.20099808 0.01894214 0.19460948 0.20787922 0.24034901 0.13722208
 0.07740189 0.05761606 0.02100313 0.05795283 0.04692467 0.05919375
 0.12067546 0.37312341 0.62405268 0.90381811 0.99753706 1.08742761]",0.30391883302945644,1000000.0,"[0.04602542 0.14177263 0.03242728 0.11305189 0.08082295 0.58589983
 0.06269617 0.02438642 0.0814761  0.00675213 0.01183257 0.08914504
 0.00876732 0.14670419 0.32867061 0.60804061 0.64532422 0.9852028 ]",0.018874278329359995,6,0,1,0.1097180700513899,0.0282346563883412
4,DO,"[0.05209229 0.12957489 0.05815195 0.18294801 0.30814188 0.26909098
 0.08280377 0.02145013 0.12780684 0.01350663 0.06661835 0.06761446
 0.0227588  0.14959857 0.29938438 0.6292131  0.92658679 1.05394541]",2.197801167028956,0.021571644064106308,"[0.04602542 0.14177263 0.03242728 0.11305189 0.08082295 0.58589983
 0.06269617 0.02438642 0.0814761  0.00675213 0.01183257 0.08914504
 0.00876732 0.14670419 0.32867061 0.60804061 0.64532422 0.9852028 ]",0.004141526086678672,6,0,2,0.12572306132245292,0.027994143372166574
5,GA Mann-Wald,"[0.05064993 0.12836914 0.06167568 0.20891029 0.33676608 0.21362888
 0.06661155 0.02400793 0.13885665 0.02327389 0.06581191 0.06251117
 0.02266688 0.14603419 0.29641654 0.62097016 0.9301788  1.05755689]",1.794040625100024,0.12293806581348429,"[0.04602542 0.14177263 0.03242728 0.11305189 0.08082295 0.58589983
 0.06269617 0.02438642 0.0814761  0.00675213 0.01183257 0.08914504
 0.00876732 0.14670419 0.32867061 0.60804061 0.64532422 0.9852028 ]",0.018874278329359995,6,0,2,0.0688503298086503,0.01857514121918371
6,iLSHADE Mann-Wald,"[0.25235271 0.03       0.03       0.2280827  0.30137509 0.28608429
 0.07532624 0.01645425 0.12428331 0.02073842 0.06870917 0.07396222
 0.11672954 0.32003582 0.55939714 0.62237912 0.93934995 1.03731339]",1.6180900420295075,0.2194942878155131,"[0.04602542 0.14177263 0.03242728 0.11305189 0.08082295 0.58589983
 0.06269617 0.02438642 0.0814761  0.00675213 0.01183257 0.08914504
 0.00876732 0.14670419 0.32867061 0.60804061 0.64532422 0.9852028 ]",0.018874278329359995,6,0,2,0.13336332214580687,0.03635925090949249
7,EM,"[0.04563311 0.14265072 0.03167166 0.1944964  0.30480824 0.28073986
 0.06138506 0.02438296 0.07915608 0.02094028 0.06702224 0.06910081
 0.00649081 0.14506015 0.32657931 0.62401841 0.93127678 1.04391434]",0.25326979195233434,0.10869239974888684,"[0.04602542 0.14177263 0.03242728 0.11305189 0.08082295 0.58589983
 0.06269617 0.02438642 0.0814761  0.00675213 0.01183257 0.08914504
 0.00876732 0.14670419 0.32867061 0.60804061 0.64532422 0.9852028 ]",0.018874278329359995,6,0,2,0.052595304068517645,0.013536950799665277
8,DO,"[0.0659736  0.11294849 0.04350062 0.20505882 0.34643007 0.22608841
 0.07528867 0.02505813 0.08788277 0.02185154 0.06731996 0.06530253
 0.02453321 0.15470032 0.31296009 0.62527266 0.93348835 1.05842572]",1.9146045410307124,0.027632107654513002,"[0.04602542 0.14177263 0.03242728 0.11305189 0.08082295 0.58589983
 0.06269617 0.02438642 0.0814761  0.00675213 0.01183257 0.08914504
 0.00876732 0.14670419 0.32867061 0.60804061 0.64532422 0.9852028 ]",0.004141526086678672,6,0,3,0.06404224328143931,0.01664408972945455
9,GA Mann-Wald,"[0.17819462 0.08975824 0.20736753 0.10737084 0.32292393 0.09438483
 0.07545876 0.1002097  0.02639662 0.05394572 0.05546583 0.05739569
 0.0871765  0.25424686 0.61955794 0.85843385 0.99090111 1.11070946]",1.846366334008053,0.2988741727517911,"[0.04602542 0.14177263 0.03242728 0.11305189 0.08082295 0.58589983
 0.06269617 0.02438642 0.0814761  0.00675213 0.01183257 0.08914504
 0.00876732 0.14670419 0.32867061 0.60804061 0.64532422 0.9852028 ]",0.018874278329359995,6,0,3,0.15297199957857588,0.04172778638893321
10,iLSHADE Mann-Wald,"[0.05406029 0.13454398 0.03389874 0.23547192 0.29576928 0.29343288
 0.07328824 0.02258306 0.08185034 0.02153906 0.07145695 0.07486975
 0.02185601 0.14560117 0.31539762 0.6222254  0.93653024 1.03455647]",1.9610069169430062,0.0955133341185204,"[0.04602542 0.14177263 0.03242728 0.11305189 0.08082295 0.58589983
 0.06269617 0.02438642 0.0814761  0.00675213 0.01183257 0.08914504
 0.00876732 0.14670419 0.32867061 0.60804061 0.64532422 0.9852028 ]",0.018874278329359995,6,0,3,0.053486647491179484,0.015777372811918614
