,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,ic.costs_runtime,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ela_meta.costs_runtime,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_distr.costs_runtime,ela_level.mmce_lda_10,ela_level.mmce_qda_10,ela_level.lda_qda_10,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_25,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,ela_level.costs_runtime,pca.expl_var.cov_x,pca.expl_var.cor_x,pca.expl_var.cov_init,pca.expl_var.cor_init,pca.expl_var_PC1.cov_x,pca.expl_var_PC1.cor_x,pca.expl_var_PC1.cov_init,pca.expl_var_PC1.cor_init,pca.costs_runtime,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,nbc.costs_runtime,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,disp.costs_runtime,fid,dim,iid,seed
822,0.7560974689703917,7.052052052052051,1074066.1533334325,6.27127127127127,0.506006006006006,5.62404,0.8660396513700845,27324134.996986296,125263.6812519698,4905001.251759652,39.157409416167226,0.9733964750751068,0.8780570635123313,718.7813227029218,0.988298396612428,50.217923,1.2343476802066755,1.6728703318004676,4,0.09504,0.0975,0.0275,3.545454545454545,0.027,0.03,0.8999999999999999,0.013,0.0205,0.6341463414634146,2.866361,1.0,1.0,0.1111111111111111,0.8888888888888888,0.1336223328274232,0.1336220490079287,0.9999999999999126,0.2113334547591848,5.141457,0.713072108242572,0.8905993059357261,0.5733612099140901,0.1462337357677494,-0.2815553724032631,1.40589,0.9092782897860882,0.8996648627846067,0.8828777174580805,0.9165179183281136,0.908422190658872,0.89762822154175,0.8822224181229144,0.9163210827251302,-1.0237672233624462,-1.132251856699915,-1.321689744484399,-0.9420701919333768,-1.0371443275975896,-1.1593890495736918,-1.3338640860796502,-0.947687163686746,0.4886,11,8,12,0
823,0.7704807819240851,7.01201201201201,1025677.9307444209,6.29129129129129,0.516016016016016,5.610372,0.8558536964494469,27432762.668758616,72718.51559395829,4908365.042680024,67.49814682806628,0.9723009601629108,0.8692801588765062,10.51293459350653,0.9878085099186348,34.248943,1.3248962853531712,2.540082888876245,4,0.062265,0.1035,0.03,3.45,0.0199999999999999,0.0344999999999999,0.5797101449275363,0.018,0.021,0.857142857142857,1.723607,1.0,1.0,0.1111111111111111,0.8888888888888888,0.1378805308533982,0.1378804860314334,0.9999999999999172,0.2121807447054303,3.966718,0.7597570956050554,0.8945763579384355,0.5832621331991725,0.1445124175054086,-0.2815210846089419,0.816787,0.8520152560985043,0.8647232228444675,0.8849355108033595,0.9131793910278148,0.8591332122433357,0.8684203435517381,0.8880451766520892,0.912879829536709,-1.6700195086492844,-1.5266091014579093,-1.2985118374030726,-0.9797774210622184,-1.5951406538318018,-1.4899754765502902,-1.2677487217448231,-0.986527256622118,0.445231,11,8,12,1
824,0.753601854200263,6.91191191191191,537936.1503980698,6.05105105105105,0.5325325325325325,4.744156,0.5492224548484586,12227720.09170296,147631.5038100692,2459203.088630058,16.65771210861518,0.9256889116017268,0.597793690782722,314.81139760325215,0.9943760718525548,44.597358,1.9696602864731312,4.205217011744056,3,0.2308,0.1,0.05,2.0,0.362,0.0764999999999999,4.732026143790851,0.0989999999999999,0.0535,1.8504672897196257,2.455125,1.0,1.0,0.1111111111111111,0.8888888888888888,0.1336223328274232,0.1336220490079287,0.9999999999997422,0.1917905512089647,3.435235,0.6723827819749237,0.8852607759757053,0.5121217824034281,0.1546703748053973,-0.2625617789966978,0.950506,0.9675685913420792,0.955974930680609,0.964843961160388,0.9600874544937644,0.9599119639204534,0.9512577307643963,0.963292199440906,0.9602919779470293,-0.3659786958729629,-0.4968096706860869,-0.3967253282856724,-0.450401075926587,-0.4540082310721622,-0.55201984427943,-0.4157261175208084,-0.4497044658379181,0.318077,11,8,13,0
825,0.7575272054490158,6.9519519519519495,407953.4503452449,6.07107107107107,0.5280280280280281,4.814875,0.5230138064102445,12572569.764733108,64806.67070417084,2471092.4250453515,38.13021712418127,0.9336337626286696,0.5978939093612137,161.5572064125547,0.994535161681508,44.827288,2.05014170203907,4.791267110637779,5,0.267106,0.1,0.056,1.7857142857142856,0.3495,0.0765,4.568627450980393,0.114,0.0605,1.8842975206611572,2.191482,1.0,1.0,0.1111111111111111,0.8888888888888888,0.1378805308533982,0.1378804860314334,0.9999999999997616,0.1942232050736961,5.206456,0.7455051036946577,0.8906041023149827,0.5574082707165067,0.149314222557437,-0.2585367291142811,1.080202,0.9618580538591208,0.9403466417915282,0.9320053097889984,0.9500272728217553,0.9688085830886743,0.9421357965516473,0.9326829323265148,0.9502665139485024,-0.430434871012908,-0.6731928531153475,-0.7673254427667349,-0.5639461682862947,-0.3532038882850035,-0.6552399241296349,-0.7622818199575434,-0.5631696918833722,0.253677,11,8,13,1
826,0.7757108074152075,6.81181181181181,447353.3054498463,5.99099099099099,0.5520520520520521,5.121517,0.0089271733084322,8316618.358511094,2322.203743574908,279742.64190389594,120.46429719092914,0.8345661112020445,0.167922323151881,139.51798590008138,0.9961289087467023,47.990171,2.2486682132603533,7.083737434962281,5,0.24386,0.1,0.0595,1.6806722689075633,0.25,0.0985,2.538071065989848,0.4899999999999999,0.079,6.20253164556962,1.31157,1.0,1.0,0.1111111111111111,0.8888888888888888,0.1336223328274232,0.1336220490079287,0.9999999999993618,0.1261592312145163,4.849983,0.6770704227215982,0.8852167108260895,0.51503066381382,0.1561777897214955,-0.3017285570280865,0.508536,0.9197192280446738,0.9405681844008044,0.9582941050426969,0.965034396666064,0.9221585578759636,0.9363924606689789,0.9553670817161324,0.963781141826294,-0.9059443742882038,-0.6706701702592799,-0.4706384852932004,-0.3945763208604838,-0.8815761234277861,-0.7203731895777263,-0.5054802943561008,-0.410188708128997,0.14559,11,8,14,0
827,0.7780280038240125,6.83183183183183,447353.3054498463,5.97097097097097,0.549049049049049,5.955714,0.0150563079043067,8491897.06207002,32893.24395151297,295150.0347029924,8.972968283032984,0.8570117402524423,0.1967125235440863,28.406403049578067,0.9963632838002534,42.099636,2.2568902325043023,6.496159303185019,5,0.139044,0.1,0.052,1.923076923076923,0.25,0.0804999999999999,3.1055900621118018,0.4569999999999999,0.0634999999999999,7.196850393700788,1.062402,1.0,1.0,0.1111111111111111,0.8888888888888888,0.1378805308533982,0.1378804860314334,0.9999999999994534,0.1284324594485739,3.231161,0.6797234880568567,0.8854122702682284,0.5054660283155609,0.1551891411581068,-0.2777420853440675,0.479224,1.002325574253864,0.958236535865338,0.9761372011607145,0.97173152896062,0.9924590908837772,0.9570454267466294,0.9764931074288192,0.9713124454057808,0.0262442889069074,-0.471303987254835,-0.2692935673092549,-0.319011925627116,-0.0853913891961291,-0.4864069604739462,-0.2661862358238736,-0.3248507708666288,0.132629,11,8,14,1
828,0.7710955444135126,6.79179179179179,513701.35433513386,5.99099099099099,0.5485485485485485,7.615956,0.1006393137193215,8979621.056523224,65569.70119694922,889469.6333622553,13.5652537242863,0.8497693344124304,0.2712965261394661,42.226996274827215,0.997032996962102,43.211855,1.9070656460536608,4.450482863004226,6,0.135215,0.1,0.0495,2.0202020202020203,0.2505,0.0819999999999999,3.054878048780488,0.372,0.0685,5.430656934306569,1.409154,1.0,1.0,0.1111111111111111,0.8888888888888888,0.1336223328274232,0.1336220490079287,0.9999999999994446,0.150251031076721,5.221509,0.6648374215362641,0.8845250139767994,0.5013231681111687,0.1561077773128766,-0.3011285016943454,1.05862,0.9711266279613704,0.9641069507849762,0.9743967333965998,0.9684584578419444,0.9725740686938392,0.9694426610803852,0.9750483603111731,0.9694807033581722,-0.3258273223840273,-0.405042268782557,-0.2889251657378029,-0.3559368199693669,-0.3106063498124243,-0.3460704176587263,-0.2825843045789415,-0.3456395782130208,0.777781,11,8,15,0
829,0.7689588467981036,6.81181181181181,407953.4503452449,5.99099099099099,0.5470470470470471,6.831955,0.1494541354411025,8742789.466099882,9491.34323579926,1072902.6693516695,113.04012958934165,0.8511091033417126,0.2956773697500373,264.045120951336,0.9969274510064732,50.269748,2.0398326793507886,5.249794276909107,3,0.149351,0.1,0.06,1.6666666666666663,0.25,0.0815,3.067484662576687,0.3395,0.0715,4.748251748251748,2.908719,1.0,1.0,0.1111111111111111,0.8888888888888888,0.1378805308533982,0.1378804860314334,0.9999999999994502,0.1560172122108785,3.829836,0.6986797127457437,0.8857808446059239,0.5221520587571241,0.1562894302554796,-0.2930928182203091,2.033099,1.008440086569141,0.9955020832147964,0.9807195837698466,0.9716371463596196,0.9977567580668874,0.996099468579978,0.980500017417156,0.9711294775091078,0.0952470427258127,-0.0507593457374966,-0.217581018085669,-0.3200770407247439,-0.0254019166680325,-0.0441686528010656,-0.2208129784334858,-0.3269226540619314,0.874819,11,8,15,1
830,0.7648403757925472,6.89189189189189,468458.0115873045,5.97097097097097,0.5405405405405406,6.593218,0.0479485175384529,8401867.619468449,75355.75246989723,535758.2640429136,7.109719516860187,0.9006790386596926,0.1669097597406672,36.51726137347455,0.9959382072367556,33.722105,2.382376622016797,6.667120390343738,3,0.208223,0.1,0.045,2.2222222222222223,0.25,0.0804999999999999,3.1055900621118018,0.444,0.0569999999999999,7.789473684210528,3.021077,1.0,1.0,0.1111111111111111,0.8888888888888888,0.1336223328274232,0.1336220490079287,0.9999999999994854,0.1366096174140829,4.371872,0.7008680624217084,0.8860581427707425,0.5177691577455807,0.1540568330970575,-0.2769073397327771,1.865211,0.9555505726420138,0.9679795203961996,0.9655450846336652,0.968828781812942,0.9578550805281912,0.969576432395288,0.967084969541027,0.9703262214108744,-0.5015984235640882,-0.3613414850471983,-0.3888133606896193,-0.3517578252983142,-0.4773030113050893,-0.3445554200687581,-0.3727719343674494,-0.3360638495670685,0.83037,11,8,16,0
831,0.7654021802004585,6.79179179179179,468458.0115873045,6.011011011011011,0.5370370370370371,6.204095,0.030485971649349,8353420.786682336,73819.61554309145,430626.8631490562,5.833501840681929,0.8887013121732218,0.1398633747649073,114.9534663519116,0.9960635863443188,50.256975,2.284594909901284,6.501833652554547,4,0.240082,0.1,0.051,1.96078431372549,0.25,0.0755,3.3112582781456954,0.4275,0.0585,7.3076923076923075,2.480296,1.0,1.0,0.1111111111111111,0.8888888888888888,0.1378805308533982,0.1378804860314334,0.9999999999994292,0.132250515904253,3.71951,0.6496633934757158,0.8810405852821255,0.5175463289433364,0.1570878342978502,-0.2726805706521223,1.451349,0.9994052001608248,1.0249310644324336,1.0002108250059627,0.9771833759214962,0.9890038874222008,1.022906362104263,1.0027335307000562,0.9771620832147692,-0.0067123631056542,0.2813490287976616,0.0023791768231404,-0.2574874026067313,-0.1245172583707834,0.2593859773889324,0.0309538253664811,-0.2586109195297243,0.602979,11,8,16,1
