,method,solution,time,fitness,optimal_solution,optimal_fitness,nr_of_components,dataset_idx,random_state,KL,JS
0,DO,"[0.09018892 0.11334787 0.40359633 0.39286688 0.06677833 0.06464691
 0.03943965 0.04904283 0.24735766 0.37889025 0.68526008 0.91772969]",1.6893449999624863,0.1595609051163094,"[0.21250211 0.39669977 0.16513754 0.22566059 0.09114214 0.03312148
 0.07076917 0.01646758 0.32216705 0.67944759 0.84131687 0.9405785 ]",0.0051138273726336544,4,0,1,0.11071195181598303,0.029681388777038735
1,GA Mann-Wald,"[0.10398772 0.08732238 0.40811464 0.40057525 0.0725344  0.05765536
 0.04101876 0.0499312  0.25129778 0.38729185 0.68643368 0.91850436]",1.8592222919687629,0.24052697215756103,"[0.21250211 0.39669977 0.16513754 0.22566059 0.09114214 0.03312148
 0.07076917 0.01646758 0.32216705 0.67944759 0.84131687 0.9405785 ]",0.0274596751722305,4,0,1,0.11479281668818964,0.03136151762200479
2,iLSHADE Mann-Wald,"[0.10735187 0.10676143 0.44644416 0.45052966 0.08105324 0.06913516
 0.03912317 0.0507005  0.26722004 0.3690417  0.68407494 0.9172801 ]",1.6762620001100004,0.22201192200539233,"[0.21250211 0.39669977 0.16513754 0.22566059 0.09114214 0.03312148
 0.07076917 0.01646758 0.32216705 0.67944759 0.84131687 0.9405785 ]",0.0274596751722305,4,0,1,0.11284378509760751,0.030445627781906032
3,EM,"[0.10111417 0.11074796 0.43872778 0.3494101  0.0741271  0.06359001
 0.04042066 0.04607403 0.25465902 0.37903237 0.68493911 0.91645039]",0.2985655829543248,0.2526146171315384,"[0.21250211 0.39669977 0.16513754 0.22566059 0.09114214 0.03312148
 0.07076917 0.01646758 0.32216705 0.67944759 0.84131687 0.9405785 ]",0.0274596751722305,4,0,1,0.10604915663006909,0.026781880858257265
4,DO,"[0.08012636 0.11575111 0.40801919 0.39610333 0.06632332 0.06595443
 0.04038565 0.04888821 0.24305849 0.36953999 0.68470772 0.91706847]",2.3311260839691386,0.15985100560510965,"[0.21250211 0.39669977 0.16513754 0.22566059 0.09114214 0.03312148
 0.07076917 0.01646758 0.32216705 0.67944759 0.84131687 0.9405785 ]",0.0051138273726336544,4,0,2,0.11318985404552473,0.030328725218200757
5,GA Mann-Wald,"[0.06012639 0.13339746 0.39798539 0.40849076 0.06765148 0.0695208
 0.03894138 0.05175513 0.21155326 0.36760996 0.68402664 0.91747576]",1.7217344579985365,0.24309934828672045,"[0.21250211 0.39669977 0.16513754 0.22566059 0.09114214 0.03312148
 0.07076917 0.01646758 0.32216705 0.67944759 0.84131687 0.9405785 ]",0.0274596751722305,4,0,2,0.12106782748529765,0.03273874832878049
6,iLSHADE Mann-Wald,"[0.10707456 0.10709695 0.44651898 0.45048165 0.08111192 0.06922309
 0.03912669 0.05067679 0.2670759  0.368816   0.68408196 0.91728226]",1.5344983340473846,0.22201211108745356,"[0.21250211 0.39669977 0.16513754 0.22566059 0.09114214 0.03312148
 0.07076917 0.01646758 0.32216705 0.67944759 0.84131687 0.9405785 ]",0.0274596751722305,4,0,2,0.1128980893887711,0.03143883227766098
7,EM,"[0.21350586 0.41334879 0.10861749 0.26452786 0.09517821 0.03396941
 0.04158683 0.020413   0.32168597 0.68009384 0.83130628 0.93885507]",0.24177012499421835,0.03332522833330883,"[0.21250211 0.39669977 0.16513754 0.22566059 0.09114214 0.03312148
 0.07076917 0.01646758 0.32216705 0.67944759 0.84131687 0.9405785 ]",0.0274596751722305,4,0,2,0.009838109366724912,0.0016875281040758469
8,DO,"[0.1128129  0.08619468 0.40979115 0.39120126 0.07172538 0.05971675
 0.03874018 0.04870758 0.26233627 0.39587409 0.68591831 0.91799805]",1.7982660420238972,0.16028731968400484,"[0.21250211 0.39669977 0.16513754 0.22566059 0.09114214 0.03312148
 0.07076917 0.01646758 0.32216705 0.67944759 0.84131687 0.9405785 ]",0.0051138273726336544,4,0,3,0.11397454399368268,0.029430664861017856
9,GA Mann-Wald,"[0.08294287 0.11207976 0.40081657 0.4041608  0.06612391 0.06374957
 0.03883273 0.0504947  0.23919181 0.3724057  0.68352159 0.91729434]",1.8267260420834646,0.23722358325783072,"[0.21250211 0.39669977 0.16513754 0.22566059 0.09114214 0.03312148
 0.07076917 0.01646758 0.32216705 0.67944759 0.84131687 0.9405785 ]",0.0274596751722305,4,0,3,0.11677240177399706,0.030645178785092025
