,method,solution,time,fitness,optimal_solution,optimal_fitness,nr_of_components,dataset_idx,random_state,KL,JS
0,DO,"[0.47803633 0.06519641 0.45676726 0.01609475 0.05228025 0.0310871
 0.13441529 0.43188845 0.8887747 ]",1.691850500064902,0.004886063584103469,"[0.48485804 0.05704205 0.45809991 0.01709978 0.04657505 0.02600063
 0.13227367 0.43181318 0.89233017]",0.004627980298081126,3,0,1,0.02343790673977142,0.006473702194420649
1,GA Mann-Wald,"[0.48814044 0.05427297 0.45758658 0.01835326 0.04497793 0.02596847
 0.13221274 0.42879857 0.88986817]",1.8248310829512775,0.03309464492072799,"[0.48485804 0.05704205 0.45809991 0.01709978 0.04657505 0.02600063
 0.13227367 0.43181318 0.89233017]",0.03326796636958222,3,0,1,0.005127822625552669,0.0009854152378790163
2,iLSHADE Mann-Wald,"[0.4955917  0.05464044 0.46736608 0.01777488 0.04081233 0.02594065
 0.13246262 0.43226132 0.89119615]",1.7507485409732908,0.02994582050772787,"[0.48485804 0.05704205 0.45809991 0.01709978 0.04657505 0.02600063
 0.13227367 0.43181318 0.89233017]",0.03326796636958222,3,0,1,0.002632444762459496,0.00039398864741487015
3,EM,"[0.48482825 0.05701903 0.45815272 0.01759528 0.04940509 0.02588891
 0.1322306  0.4301841  0.89134063]",0.3326382079394534,0.031933098789055515,"[0.48485804 0.05704205 0.45809991 0.01709978 0.04657505 0.02600063
 0.13227367 0.43181318 0.89233017]",0.03326796636958222,3,0,1,0.0008479317530110109,0.00018993405533494735
4,DO,"[0.49505208 0.05764122 0.4473067  0.03326198 0.05351117 0.02784794
 0.11766904 0.42894916 0.8914191 ]",2.156392583041452,0.002873882415817199,"[0.48485804 0.05704205 0.45809991 0.01709978 0.04657505 0.02600063
 0.13227367 0.43181318 0.89233017]",0.004627980298081126,3,0,2,0.1976051972203685,0.05606196855580316
5,GA Mann-Wald,"[0.48238462 0.06366155 0.45395383 0.01850879 0.04168178 0.02621292
 0.13372815 0.43702789 0.89008383]",1.7675250410102308,0.03659984677740653,"[0.48485804 0.05704205 0.45809991 0.01709978 0.04657505 0.02600063
 0.13227367 0.43181318 0.89233017]",0.03326796636958222,3,0,2,0.007800971168092197,0.0019855195088752694
6,iLSHADE Mann-Wald,"[0.49558957 0.05384004 0.46886767 0.0177748  0.04038971 0.02603204
 0.13246258 0.43301061 0.89128291]",1.4737017090665177,0.029936113514567996,"[0.48485804 0.05704205 0.45809991 0.01709978 0.04657505 0.02600063
 0.13227367 0.43181318 0.89233017]",0.03326796636958222,3,0,2,0.00263147959843546,0.0005733365546448946
7,EM,"[0.48482825 0.05701903 0.45815272 0.01759528 0.04940509 0.02588891
 0.1322306  0.4301841  0.89134063]",0.01281108392868191,0.031933098789055515,"[0.48485804 0.05704205 0.45809991 0.01709978 0.04657505 0.02600063
 0.13227367 0.43181318 0.89233017]",0.03326796636958222,3,0,2,0.0011345214320381825,0.00031288380595813006
8,DO,"[0.48838226 0.05575168 0.45586606 0.02206677 0.05066567 0.02744671
 0.12872032 0.43598996 0.88850581]",1.6212447918951511,0.0030033648100184595,"[0.48485804 0.05704205 0.45809991 0.01709978 0.04657505 0.02600063
 0.13227367 0.43181318 0.89233017]",0.004627980298081126,3,0,3,0.03925478158541207,0.01081304331090029
9,GA Mann-Wald,"[0.49400292 0.04918338 0.4568137  0.01843459 0.0385107  0.02665735
 0.13576659 0.43600093 0.88871279]",1.846992417005822,0.050762186341989216,"[0.48485804 0.05704205 0.45809991 0.01709978 0.04657505 0.02600063
 0.13227367 0.43181318 0.89233017]",0.03326796636958222,3,0,3,0.020061642321935302,0.005156433554513576
10,iLSHADE Mann-Wald,"[0.4955912  0.05477317 0.46860315 0.01777486 0.04091031 0.02602002
 0.13246258 0.43237925 0.89131274]",1.454246790963225,0.02991870813843404,"[0.48485804 0.05704205 0.45809991 0.01709978 0.04657505 0.02600063
 0.13227367 0.43181318 0.89233017]",0.03326796636958222,3,0,3,0.0022040207397155953,0.0005243719701527917
11,EM,"[0.48482825 0.05701903 0.45815272 0.01759528 0.04940509 0.02588891
 0.1322306  0.4301841  0.89134063]",0.032631375011987984,0.031933098789055515,"[0.48485804 0.05704205 0.45809991 0.01709978 0.04657505 0.02600063
 0.13227367 0.43181318 0.89233017]",0.03326796636958222,3,0,3,0.0009346452722756027,0.000239988631447061
